                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3831,                 1.1715,                 1.5577,                0.82205,                0.62429,                0.69689,                0.38993,                 1.5889,                 1.1362,                 1.8046,             0.00047414,             0.00047414,             0.00047414
                      2,                 1.4403,                  1.212,                 1.5895,                0.79666,                0.60521,                0.68199,                 0.3714,                 1.6428,                 1.1919,                 1.8638,             0.00091911,             0.00091911,             0.00091911
                      3,                 1.4787,                 1.2865,                 1.6306,                0.76071,                0.55244,                 0.6196,                0.32916,                  1.735,                 1.3843,                 1.9569,              0.0013326,              0.0013326,              0.0013326
                      4,                 1.5076,                 1.3103,                 1.6412,                0.76659,                0.58757,                0.65304,                0.35321,                 1.6605,                 1.2724,                 1.8751,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.4882,                 1.2947,                 1.6328,                0.78259,                0.58405,                0.65467,                0.35302,                 1.6462,                 1.2313,                 1.8658,              0.0012404,              0.0012404,              0.0012404
                      6,                  1.488,                 1.2805,                 1.6257,                0.76362,                0.59943,                0.66881,                0.36859,                 1.6221,                 1.2454,                  1.849,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.4719,                 1.2635,                 1.6203,                0.79283,                0.58193,                0.66026,                0.36908,                  1.634,                 1.2459,                 1.8642,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.4545,                 1.2355,                 1.5942,                0.77468,                0.59274,                0.66578,                0.37042,                 1.5896,                 1.2466,                 1.8352,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.4436,                 1.2352,                 1.5893,                0.80471,                0.61978,                0.69092,                0.38713,                 1.5975,                 1.1751,                 1.8194,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.4241,                 1.1975,                 1.5766,                0.80395,                0.62188,                0.69704,                0.39937,                 1.5482,                 1.1486,                  1.774,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.4224,                 1.1886,                 1.5808,                0.81206,                0.63633,                0.70806,                0.39946,                 1.5798,                 1.0983,                    1.8,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.4068,                 1.1728,                 1.5607,                0.79709,                0.62188,                0.69372,                0.40069,                 1.5288,                 1.1131,                 1.7677,             0.00091027,             0.00091027,             0.00091027
